School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
Saint Peter's University,"Private School, Religious, For Sports Fans","$55,000","$103,900",37%,19%
SUNY College at Geneseo,State School,"$54,700","$103,900",45%,25%
Louisiana Tech University,"Research University, For Sports Fans, State School","$57,500","$103,900",55%,25%
Ohio State University-Main Campus,"Research University, For Sports Fans, State School","$60,500","$103,800",49%,27%
University of Wisconsin-Platteville,State School,"$62,100","$103,800",50%,37%
California State University-Stanislaus,State School,"$53,600","$103,800",54%,9%
Bryn Mawr College,"Liberal Arts School, Private School","$59,800","$103,700",48%,19%
Macalester College,"Liberal Arts School, Private School, Religious","$57,300","$103,700",60%,37%
University of Nebraska-Lincoln,"Research University, For Sports Fans, State School","$55,600","$103,700",54%,22%
Spring Hill College,"Liberal Arts School, Private School, Religious","$50,200","$103,600",51%,13%
Colorado State University-Fort Collins,"Research University, For Sports Fans, State School","$57,800","$103,600",52%,31%
Otis College of Art and Design,"Art, Private School","$57,200","$103,600",38%,0%
Juniata College,"Liberal Arts School, Private School","$53,400","$103,500",46%,33%
Drew University,"Liberal Arts School, Private School, Religious","$57,800","$103,400",40%,16%
Lamar University,"Research University, For Sports Fans, State School","$58,200","$103,400",58%,10%
Mount Saint Mary's University,"Private School, Religious","$59,400","$103,400",57%,3%
Gordon College,"Liberal Arts School, Private School, Religious, Sober School","$53,900","$103,400",51%,16%
Polytechnic University of Puerto Rico-Orlando,Private School,"$61,100","$103,300",63%,39%
Washington & Jefferson College,"Liberal Arts School, Private School","$53,000","$103,300",44%,22%
Notre Dame de Namur University,"Private School, Religious","$60,700","$103,300",60%,10%
Norwich University,Private School,"$60,400","$103,200",51%,19%
California State University-San Marcos,State School,"$56,300","$103,200",48%,12%
The University of Texas Medical Branch at Galveston,State School,"$66,200","$103,100",85%,2%
Christian Brothers University,"Private School, Religious","$55,100","$103,000",62%,27%
St. Mary's University,"Private School, Religious","$56,100","$102,800",63%,18%
Hamline University,"Private School, Religious","$52,400","$102,800",53%,5%
Suffolk University,"Private School, Research University","$57,700","$102,800",35%,7%
City University of Seattle,Private School,"$54,000","$102,700",57%,6%
San Francisco Art Institute,"Art, Private School","$59,100","$102,700",31%,0%
University of Minnesota-Duluth,State School,"$57,500","$102,700",52%,33%
Kansas State University,"Research University, For Sports Fans, State School","$57,000","$102,700",53%,23%
The College of Wooster,"Liberal Arts School, Private School","$51,600","$102,600",61%,38%
Knox College,"Liberal Arts School, Private School","$55,500","$102,600",41%,27%
University of New Haven,Private School,"$56,400","$102,600",53%,21%
Principia College,"Liberal Arts School, Private School","$60,400","$102,500",57%,14%
Biola University,"Private School, Religious, Research University","$54,600","$102,500",57%,6%
Mount St. Mary's University,"Private School, Religious","$53,100","$102,500",43%,13%
Duquesne University,"Private School, Religious, Research University, For Sports Fans","$57,400","$102,300",52%,12%
Ramapo College of New Jersey,State School,"$54,700","$102,300",43%,13%
Loras College,"Private School, Religious","$51,200","$102,200",57%,14%
Stevenson University,Private School,"$53,800","$102,200",52%,15%
University of Maryland Global Campus,State School,"$60,200","$102,200",60%,29%
Excelsior College,Private School,"$60,000","$102,100",67%,2%
Cornell College,"Liberal Arts School, Private School, Religious","$54,400","$102,100",49%,24%
McDaniel College,"Liberal Arts School, Private School","$54,100","$102,100",59%,5%
University at Buffalo,"Research University, For Sports Fans, State School","$58,800","$102,000",48%,36%
Assumption University,"Private School, Religious","$56,100","$102,000",56%,10%
Northern Illinois University,"Research University, For Sports Fans, State School","$57,100","$101,900",47%,20%
Vaughn College of Aeronautics and Technology,Private School,"$58,000","$101,800",40%,14%
University of Cincinnati-Main Campus,"Research University, For Sports Fans, State School","$58,100","$101,600",52%,22%
CUNY Queens College,State School,"$56,800","$101,600",51%,11%
Manhattanville College,Private School,"$59,500","$101,600",45%,4%
New Mexico State University-Main Campus,"Research University, For Sports Fans, State School","$53,300","$101,600",58%,23%
University of Colorado Denver/Anschutz Medical Campus,"Research University, State School","$57,500","$101,600",54%,17%
Marymount California University,"Private School, Religious","$51,400","$101,600",-,3%
Mount Holyoke College,"Liberal Arts School, Private School","$56,400","$101,600",55%,28%
College of Staten Island CUNY,State School,"$56,600","$101,500",41%,13%
CUNY Hunter College,"Sober School, State School","$56,700","$101,500",48%,9%
Rush University,Private School,"$70,100","$101,400",88%,4%
Illinois State University,"Research University, For Sports Fans, State School","$55,000","$101,400",48%,9%
Montana State University,"Research University, For Sports Fans, State School","$57,800","$101,400",57%,31%
University of Wyoming,"Research University, For Sports Fans, State School","$56,700","$101,300",60%,25%
LeTourneau University,"Private School, Religious","$63,500","$101,300",51%,22%
William Jewell College,"Liberal Arts School, Private School","$53,400","$101,300",60%,13%
,"Research University, State School","$57,100","$101,200",49%,28%
University of Houston-Clear Lake,State School,"$53,700","$101,200",49%,20%
Quinnipiac University,"Private School, For Sports Fans","$60,400","$101,200",46%,7%
University of Massachusetts-Dartmouth,"Research University, State School","$57,700","$101,200",47%,18%
Valparaiso University,"Private School, Religious, For Sports Fans","$57,500","$101,200",52%,25%
,"Engineering, Private School","$58,700","$101,000",58%,69%
Carroll College,"Private School, Religious","$52,800","$101,000",56%,25%
Marymount University,"Private School, Religious","$56,600","$100,900",47%,18%
Lynn University,Private School,"$48,500","$100,900",47%,2%
Dunwoody College of Technology,Private School,"$58,000","$100,900",62%,22%
Temple University,"Research University, For Sports Fans, State School","$57,300","$100,800",44%,16%
Salve Regina University,"Private School, Religious","$58,200","$100,800",43%,5%
New England Institute of Technology,Private School,"$57,100","$100,800",44%,14%
The University of Texas Health Science Center at Houston,State School,"$72,600","$100,800",82%,11%
Florida State University,"Party School, Research University, For Sports Fans, State School","$55,100","$100,800",49%,18%
University of New Mexico-Main Campus,"Research University, For Sports Fans, State School","$51,200","$100,700",60%,19%
Point Loma Nazarene University,"Private School, Religious","$56,900","$100,700",63%,10%
SUNY at Purchase College,"Liberal Arts School, State School","$54,800","$100,600",43%,4%
Linfield University-Online and Continuing Education,"Private School, Religious","$56,500","$100,600",55%,1%
Hendrix College,"Liberal Arts School, Private School, Religious","$49,800","$100,600",66%,28%
University of North Dakota,"Research University, For Sports Fans, State School","$58,100","$100,500",52%,16%
Pacific Union College,"Liberal Arts School, Private School, Religious","$58,600","$100,500",75%,8%
Alma College,"Liberal Arts School, Private School, Religious","$52,100","$100,500",54%,19%
Monmouth University,"Private School, For Sports Fans","$55,700","$100,400",39%,11%
Utah State University,"Research University, For Sports Fans, State School","$56,500","$100,400",60%,14%
Saint Edward's University,"Private School, Religious","$53,800","$100,400",44%,14%
Prairie View A & M University,"Research University, For Sports Fans, State School","$62,900","$100,400",63%,23%
Saint Louis University,"Private School, Religious, Research University, For Sports Fans","$58,200","$100,400",54%,15%
CUNY City College,State School,"$59,700","$100,200",56%,31%
Pitzer College,"Liberal Arts School, Private School","$58,700","$100,200",62%,19%
Abilene Christian University,"Private School, Religious, For Sports Fans","$53,700","$100,100",52%,7%
California State University-Los Angeles,State School,"$53,400","$100,100",53%,15%
Southwestern University,"Liberal Arts School, Private School, Religious","$55,600","$100,000",49%,22%
University of Nevada-Reno,"Research University, For Sports Fans, State School","$56,900","$100,000",47%,26%
University of Kentucky,"Research University, For Sports Fans, State School","$56,000","$100,000",49%,20%
Linfield University-McMinnville Campus,"Liberal Arts School, Private School, Religious","$56,100","$99,900",48%,17%
Le Moyne College,"Private School, Religious","$54,400","$99,900",46%,15%
Rutgers University-Camden,"For Sports Fans, State School","$55,000","$99,800",48%,8%
Centenary College of Louisiana,"Liberal Arts School, Private School, Religious","$50,800","$99,800",39%,34%
Pacific University,Private School,"$52,000","$99,700",64%,8%
Westminster College (Utah),Private School,"$55,700","$99,700",57%,11%
Universidad Adventista de las Antillas,"Private School, Religious","$56,300","$99,700",-,6%
Central Washington University,State School,"$57,300","$99,600",49%,13%
The University of Tennessee-Knoxville,"Research University, For Sports Fans, State School","$55,400","$99,600",54%,22%
The University of Tampa,Private School,"$53,200","$99,600",47%,18%
Creighton University,"Private School, Religious, For Sports Fans","$58,400","$99,600",54%,10%
The University of Alabama,"Party School, Research University, For Sports Fans, State School","$57,400","$99,500",50%,18%
Thomas Edison State University,State School,"$57,100","$99,400",57%,1%
Elon University,"Party School, Private School, For Sports Fans","$58,200","$99,400",44%,7%
Thomas Aquinas College,"Liberal Arts School, Private School, Religious, Sober School","$54,200","$99,400",-,0%
Saint Mary's University of Minnesota,"Private School, Religious","$57,900","$99,400",54%,4%
Lebanon Valley College,"Private School, Religious","$53,800","$99,300",41%,9%
Fairleigh Dickinson University-Metropolitan Campus,Private School,"$56,200","$99,300",46%,12%
Hampton University,"Private School, For Sports Fans","$55,500","$99,300",60%,14%
St Francis College,"Private School, For Sports Fans","$56,000","$99,100",53%,11%
Mississippi State University,"Research University, For Sports Fans, State School","$55,100","$99,100",57%,28%
Messiah University,"Private School, Religious","$55,000","$99,000",54%,13%
College of Mount Saint Vincent,"Private School, Religious","$55,100","$99,000",57%,6%
Ohio University-Main Campus,"Research University, For Sports Fans, State School","$55,700","$98,900",48%,11%
Moravian College,"Liberal Arts School, Private School, Religious","$56,200","$98,900",43%,9%
Trine University,Private School,"$59,600","$98,900",56%,36%
Benedictine College,"Private School, Religious","$51,700","$98,900",64%,17%
Towson University,"For Sports Fans, State School","$55,300","$98,900",50%,17%
University of Massachusetts-Boston,"Research University, State School","$57,700","$98,900",58%,16%
Boston Architectural College,Private School,"$51,900","$98,800",53%,0%
Lycoming College,"Liberal Arts School, Private School, Religious","$51,200","$98,700",53%,15%
Calvin University,"Private School, Religious, Sober School","$53,400","$98,600",54%,23%
Wilkes University,Private School,"$55,700","$98,500",52%,11%
Texas Tech University Health Sciences Center,State School,"$66,300","$98,400",86%,2%
University of Hawaii at Manoa,"Research University, For Sports Fans, State School","$56,100","$98,400",60%,19%
Washington Adventist University,"Private School, Religious","$58,600","$98,400",61%,9%
Oakland University,"Research University, For Sports Fans, State School","$55,000","$98,300",48%,22%
Millsaps College,"Liberal Arts School, Private School, Religious","$52,600","$98,300",57%,26%
Bloomsburg University of Pennsylvania,State School,"$52,500","$98,200",51%,10%
Canisius College,"Private School, Religious, For Sports Fans","$51,300","$98,200",51%,14%
University of North Carolina at Charlotte,"Research University, For Sports Fans, State School","$56,800","$98,200",50%,29%
Augustana College,"Liberal Arts School, Private School, Religious","$51,400","$98,200",44%,28%
Regis University,"Private School, Religious","$59,800","$98,200",60%,14%
Western Michigan University,"Research University, For Sports Fans, State School","$55,200","$98,200",49%,19%
Xavier University,"Private School, Religious, For Sports Fans","$55,900","$98,100",43%,6%
Adelphi University,"Private School, Research University","$57,700","$98,100",53%,7%
The University of Texas at El Paso,"Research University, For Sports Fans, State School","$51,700","$98,100",63%,26%
Southwestern Oklahoma State University,State School,"$51,200","$98,000",67%,6%
University of Wisconsin-Eau Claire,State School,"$56,200","$98,000",49%,13%
University of North Texas,"Research University, For Sports Fans, State School","$54,200","$98,000",47%,15%
Alfred University,Private School,"$53,000","$97,900",45%,18%
California State University-Channel Islands,State School,"$54,700","$97,900",48%,15%
Dordt University,"Private School, Religious","$56,400","$97,900",59%,14%
"University of Maryland, Baltimore",State School,"$65,100","$97,900",81%,2%
California State University-Bakersfield,"For Sports Fans, State School","$52,800","$97,800",56%,14%
North Carolina A & T State University,"Research University, For Sports Fans, State School","$57,600","$97,700",60%,26%
Farmingdale State College,State School,"$57,300","$97,700",45%,11%
Holy Cross College,"Liberal Arts School, Private School, Religious","$51,500","$97,700",-,2%
Concordia University-Irvine,"Private School, Religious","$55,400","$97,700",54%,2%
Central Connecticut State University,"For Sports Fans, State School","$58,100","$97,700",43%,17%
Saint Cloud State University,State School,"$56,300","$97,700",51%,18%
University of Louisiana at Monroe,"Research University, For Sports Fans, State School","$52,400","$97,700",65%,8%
California Institute of the Arts,"Art, Private School","$60,700","$97,600",59%,4%
University of Maine,"Party School, Research University, For Sports Fans, State School","$57,000","$97,600",50%,23%
New College of Florida,"Liberal Arts School, State School","$50,200","$97,500",46%,0%
McMurry University,"Private School, Religious","$54,000","$97,500",59%,10%
Hawaii Pacific University,Private School,"$57,100","$97,500",62%,15%
CUNY New York City College of Technology,State School,"$56,000","$97,400",43%,20%
St Bonaventure University,"Private School, Religious, For Sports Fans","$52,400","$97,400",35%,6%
Louisiana State University Health Sciences Center-Shreveport,State School,"$58,700","$97,400",-,3%
Woodbury University,Private School,"$54,000","$97,400",46%,0%
Rockhurst University,"Private School, Religious","$58,000","$97,400",55%,8%
University of South Florida,"Research University, For Sports Fans, State School","$54,000","$97,300",49%,23%
Hope College,"Liberal Arts School, Private School, Religious","$53,900","$97,300",47%,21%
Nichols College,"Business, Private School","$57,500","$97,300",45%,1%
Houston Baptist University,"Private School, Religious, For Sports Fans","$53,800","$97,200",63%,6%
Trinity International University-Illinois,"Private School, Religious, Research University","$48,900","$97,200",55%,2%
College for Creative Studies,"Art, Private School","$55,300","$97,200",37%,0%
University of Louisiana at Lafayette,"Research University, For Sports Fans, State School","$52,100","$97,200",54%,20%
Utah Valley University,"For Sports Fans, State School","$55,300","$97,000",60%,8%
Amberton University,"Private School, Religious","$58,300","$97,000",59%,0%
Stetson University,"Private School, For Sports Fans","$49,700","$97,000",47%,9%
Saint Xavier University,"Private School, Religious","$52,700","$97,000",60%,10%
Thomas More University,"Private School, Religious","$52,400","$97,000",63%,6%
Roger Williams University,Private School,"$58,100","$96,900",46%,13%
Sam Houston State University,"Research University, For Sports Fans, State School","$52,200","$96,800",50%,5%
Samford University,"Private School, Religious, For Sports Fans","$52,200","$96,800",56%,4%
University of Bridgeport,Private School,"$53,700","$96,800",54%,10%
University of Colorado Colorado Springs,State School,"$56,100","$96,800",54%,23%
Vermont Technical College,State School,"$56,900","$96,700",51%,4%
Rowan University,"Research University, State School","$54,600","$96,600",42%,22%
University of Washington-Tacoma Campus,State School,"$61,700","$96,600",49%,29%
Shippensburg University of Pennsylvania,State School,"$52,800","$96,600",50%,9%
Tennessee Technological University,"Research University, For Sports Fans, State School","$58,400","$96,600",52%,28%
Birmingham-Southern College,"Liberal Arts School, Private School, Religious","$54,500","$96,600",46%,24%
Framingham State University,State School,"$53,700","$96,600",45%,7%
University of Evansville,"Private School, Religious, For Sports Fans","$53,700","$96,500",52%,19%
Goucher College,"Liberal Arts School, Private School","$52,600","$96,500",45%,7%
Embry-Riddle Aeronautical University-Worldwide,Private School,"$62,400","$96,400",66%,11%
Augustana University,"Private School, Religious","$50,700","$96,400",52%,15%
Massachusetts College of Art and Design,"Art, State School","$55,600","$96,400",35%,0%
Thomas More College of Liberal Arts,"Liberal Arts School, Private School, Religious","$54,600","$96,300",-,0%
Thomas Jefferson University,Private School,"$68,500","$96,300",76%,6%
Florida Atlantic University,"Research University, For Sports Fans, State School","$53,500","$96,300",50%,15%
The College of Idaho,"Liberal Arts School, Private School","$49,000","$96,300",44%,15%
Simmons University,"Private School, Sober School","$58,700","$96,300",57%,2%
Newman University,"Private School, Religious","$51,300","$96,300",61%,9%
Portland State University,"Research University, For Sports Fans, State School","$55,300","$96,200",50%,18%
Georgia State University,"Research University, For Sports Fans, State School","$55,300","$96,200",48%,19%
Oglethorpe University,"Liberal Arts School, Private School","$56,600","$96,200",47%,21%
Weber State University,"For Sports Fans, State School","$58,700","$96,100",61%,10%
The University of Texas Health Science Center at San Antonio,State School,"$62,600","$96,100",83%,3%
Florida International University,"Research University, For Sports Fans, State School","$53,200","$96,100",51%,17%
St. John's College (New Mexico),"Liberal Arts School, Private School","$55,600","$95,900",-,0%
Eckerd College,"Liberal Arts School, Private School, Religious","$53,300","$95,900",46%,32%
Minnesota State University-Mankato,State School,"$55,900","$95,900",54%,14%
College of Saint Benedict,"Liberal Arts School, Private School, Religious","$53,100","$95,900",52%,19%
University of New England,Private School,"$53,800","$95,900",65%,9%
Marietta College,Private School,"$53,900","$95,800",58%,32%
The University of Texas Permian Basin,State School,"$57,100","$95,800",48%,15%
Southern Illinois University-Carbondale,"Research University, For Sports Fans, State School","$53,000","$95,800",55%,14%
Northern Arizona University,"Research University, For Sports Fans, State School","$53,900","$95,700",56%,14%
Augsburg University,"Private School, Religious","$55,600","$95,700",53%,8%
SUNY College at Old Westbury,State School,"$52,400","$95,600",47%,9%
Sierra Nevada University,Private School,"$56,100","$95,600",39%,2%
William Paterson University of New Jersey,State School,"$53,600","$95,500",45%,9%
SUNY College of Environmental Science and Forestry,"Engineering, Research University, State School","$55,400","$95,500",56%,60%
University of Minnesota-Morris,"Liberal Arts School, State School","$49,700","$95,500",47%,31%
Bennington College,"Liberal Arts School, Private School","$50,200","$95,400",55%,4%
West Chester University of Pennsylvania,State School,"$52,800","$95,400",51%,10%
Westminster College (Pennsylvania),"Liberal Arts School, Private School, Religious","$49,400","$95,400",44%,22%
University of New Orleans,"Research University, For Sports Fans, State School","$52,700","$95,400",55%,29%
University of Toledo,"Research University, For Sports Fans, State School","$56,200","$95,300",54%,22%
University of St Thomas (Texas),"Private School, Religious","$54,700","$95,300",57%,8%
Saint Anthony College of Nursing,"Private School, Religious","$62,200","$95,300",-,0%
National University,Private School,"$58,700","$95,300",57%,5%
University of Nevada-Las Vegas,"Research University, For Sports Fans, State School","$53,900","$95,300",46%,14%
Central College,"Liberal Arts School, Private School, Religious","$54,800","$95,300",45%,36%
Xavier University of Louisiana,"Private School, Religious","$47,600","$95,300",62%,37%
Pacific Northwest College of Art,"Art, Private School","$50,600","$95,200",-,0%
Saint Martin's University,"Private School, Religious","$59,200","$95,200",62%,49%
Universidad del Sagrado Corazon,"Private School, Religious","$51,200","$95,200",44%,3%
University of Pittsburgh-Johnstown,"Liberal Arts School, State School","$54,000","$95,200",52%,47%
Stephen F Austin State University,"For Sports Fans, State School","$50,200","$95,200",55%,7%
Elizabethtown College,"Liberal Arts School, Private School","$54,700","$95,100",46%,21%
SUNY Polytechnic Institute,State School,"$55,700","$95,100",44%,39%
University of Houston-Downtown,State School,"$54,800","$95,100",49%,8%
SUNY College of Technology at Alfred,State School,"$55,900","$95,000",48%,7%
John F. Kennedy University,Private School,"$56,200","$95,000",-,0%
Humboldt State University,State School,"$50,100","$95,000",59%,19%
Doane University,"Liberal Arts School, Private School","$49,000","$95,000",45%,7%
Columbia Basin College,State School,"$56,500","$94,900",-,5%
Western Governors University,Private School,"$59,900","$94,900",58%,10%
Beloit College,"Liberal Arts School, Private School","$50,900","$94,800",57%,25%
The King's College,"Liberal Arts School, Private School, Religious","$57,300","$94,800",62%,0%
Austin College,"Liberal Arts School, Private School, Religious","$57,400","$94,800",49%,26%
University of Missouri-Kansas City,"Research University, For Sports Fans, State School","$55,300","$94,800",55%,23%
Berklee College of Music,"Art, Private School","$52,700","$94,800",50%,19%
Ohio State University-Mansfield Campus,State School,"$45,800","$94,700",-,0%
Marian University (Wisconsin),"Private School, Religious","$50,400","$94,700",50%,3%
Salisbury University,State School,"$54,300","$94,700",52%,12%
Saint Mary's College,"Liberal Arts School, Private School, Religious","$50,700","$94,600",42%,13%
Loyola University New Orleans,"Private School, Religious","$50,200","$94,600",43%,5%
University of Lynchburg,"Private School, Religious","$50,600","$94,500",49%,10%
The University of Texas at San Antonio,"Research University, For Sports Fans, State School","$54,700","$94,500",55%,23%
University of Central Florida,"Research University, For Sports Fans, State School","$53,800","$94,500",50%,18%
University of North Florida,"For Sports Fans, State School","$52,300","$94,500",50%,13%
Emmanuel College,"Liberal Arts School, Private School, Religious","$54,300","$94,500",53%,19%
Gannon University,"Private School, Religious","$55,400","$94,400",57%,15%
Bard College,"Liberal Arts School, Private School","$54,900","$94,400",49%,0%
Bethany College (West Virginia),"Liberal Arts School, Private School, Religious","$49,300","$94,400",66%,11%
University of Wisconsin-Whitewater,State School,"$52,400","$94,400",43%,7%
University of Wisconsin-Milwaukee,"Research University, For Sports Fans, State School","$55,200","$94,400",49%,16%
University of Detroit Mercy,"Private School, Religious, For Sports Fans","$56,700","$94,400",56%,19%
Mills College,"Private School, Sober School","$57,300","$94,300",60%,8%
SUNY Oneonta,State School,"$50,100","$94,200",39%,10%
Saint Vincent College,"Liberal Arts School, Private School, Religious","$53,600","$94,200",55%,20%
AdventHealth University,"Private School, Religious","$57,700","$94,200",89%,5%
Bowling Green State University-Main Campus,"Research University, For Sports Fans, State School","$50,800","$94,100",48%,10%
Shepherd University,"Liberal Arts School, State School","$51,500","$94,100",52%,12%
Carroll University,"Private School, Religious","$49,700","$94,100",50%,14%
University of Saint Mary,"Private School, Religious","$54,600","$94,100",68%,7%
Texas State University,"Research University, For Sports Fans, State School","$54,700","$94,000",51%,12%
King's College,"Private School, Religious","$51,500","$93,900",50%,11%
University of South Carolina-Columbia,"Research University, For Sports Fans, State School","$55,200","$93,900",51%,19%
Southern Illinois University-Edwardsville,"For Sports Fans, State School","$56,100","$93,900",49%,20%
Harding University,"Private School, Religious","$53,300","$93,900",48%,11%
Oklahoma Christian University,"Private School, Religious","$53,700","$93,800",58%,29%
Old Dominion University,"Research University, For Sports Fans, State School","$54,100","$93,800",54%,21%
Lewis University,"Private School, Religious","$55,400","$93,800",51%,18%
Saint Norbert College,"Liberal Arts School, Private School, Religious","$52,100","$93,700",41%,14%
Chaminade University of Honolulu,"Private School, Religious","$48,600","$93,700",59%,6%
Georgetown College,"Liberal Arts School, Private School, Religious","$48,400","$93,700",61%,8%
Molloy College,"Private School, Religious","$63,400","$93,600",65%,3%
Presbyterian College,"Liberal Arts School, Private School, Religious, For Sports Fans","$53,300","$93,600",51%,23%
University of South Dakota,"Research University, For Sports Fans, State School","$50,600","$93,600",59%,7%
Laguna College of Art and Design,"Art, Private School","$56,600","$93,600",43%,0%
Simpson College,"Liberal Arts School, Private School, Religious","$52,800","$93,600",49%,19%
Washington College,"Liberal Arts School, Private School","$54,400","$93,600",54%,24%
Texas A & M University-Commerce,"Research University, State School","$49,600","$93,500",51%,9%
Tuskegee University,Private School,"$60,700","$93,500",61%,34%
Dominican University of California,Private School,"$61,600","$93,500",58%,11%
Holy Names University,"Private School, Religious","$57,400","$93,500",68%,4%
Wayne State University,"Research University, State School","$55,400","$93,500",52%,18%
University of Providence,"Private School, Religious","$47,200","$93,500",70%,9%
Frostburg State University,State School,"$53,600","$93,500",52%,17%
Bellin College,Private School,"$61,100","$93,400",-,0%
,State School,"$50,300","$93,400",51%,11%
South Dakota State University,"Research University, For Sports Fans, State School","$55,000","$93,400",56%,18%
Jacksonville University,"Private School, For Sports Fans","$54,900","$93,400",65%,6%
Missouri State University-Springfield,"For Sports Fans, State School","$49,300","$93,400",51%,10%
Bellarmine University,"Private School, Religious","$51,600","$93,400",57%,6%
University of Akron Main Campus,"Research University, For Sports Fans, State School","$55,600","$93,300",47%,24%
Franciscan University of Steubenville,"Private School, Religious","$51,000","$93,200",59%,9%
Holy Family University,"Private School, Religious","$53,600","$93,200",46%,4%
Cabrini University,"Private School, Religious","$52,100","$93,200",47%,6%
Saint John Fisher College,"Private School, Religious, Research University","$51,900","$93,200",47%,7%
Concordia University Texas,"Private School, Religious","$54,200","$93,200",56%,4%
Benedictine University,"Private School, Religious, Research University","$54,500","$93,200",57%,10%
University of Nebraska at Omaha,"Research University, For Sports Fans, State School","$53,500","$93,200",52%,18%
Gwynedd Mercy University,"Private School, Religious","$57,700","$93,100",66%,2%
University of Wisconsin-La Crosse,State School,"$53,600","$93,100",52%,19%
University of Jamestown,"Private School, Religious","$52,000","$93,000",62%,13%
St. Thomas Aquinas College,Private School,"$53,600","$93,000",44%,11%
Virginia Commonwealth University,"Research University, For Sports Fans, State School","$53,900","$93,000",51%,19%
Ripon College,"Liberal Arts School, Private School","$49,300","$93,000",63%,20%
Roosevelt University,Private School,"$51,900","$93,000",46%,12%
Earlham College,"Liberal Arts School, Private School, Religious","$54,200","$93,000",52%,31%
Louisiana State University Health Sciences Center-New Orleans,State School,"$56,000","$93,000",86%,2%
The University of Findlay,"Private School, Religious","$53,000","$92,900",46%,4%
Rosemont College,"Private School, Religious","$51,100","$92,900",57%,5%
Dallas Baptist University,"Private School, Religious, Research University","$53,400","$92,900",59%,10%
Western Connecticut State University,State School,"$56,200","$92,900",48%,7%
West Virginia Wesleyan College,"Private School, Religious","$48,900","$92,800",54%,14%
York College of Pennsylvania,Private School,"$55,800","$92,800",46%,16%
Georgia Southern University,"Research University, For Sports Fans, State School","$53,100","$92,800",51%,18%
The University of Montana,"Research University, For Sports Fans, State School","$49,300","$92,800",53%,12%
McNeese State University,"For Sports Fans, State School","$54,200","$92,800",61%,15%
Whitworth University,"Private School, Religious","$54,200","$92,700",56%,16%
The Master's University and Seminary,"Private School, Religious","$52,600","$92,600",61%,8%
Kean University,State School,"$52,100","$92,500",52%,11%
University of Wisconsin-Stout,State School,"$55,100","$92,400",46%,17%
Idaho State University,"Research University, For Sports Fans, State School","$53,900","$92,400",66%,12%
SUNY College at Potsdam,State School,"$47,100","$92,300",56%,13%
Cornish College of the Arts,"Art, Private School","$53,800","$92,300",39%,0%
Coe College,"Liberal Arts School, Private School, Religious","$50,500","$92,300",41%,30%
Neumann University,"Private School, Religious","$54,200","$92,100",53%,4%
Bloomfield College,"Liberal Arts School, Private School, Religious","$51,100","$92,100",58%,10%
Medical University of South Carolina,State School,"$63,400","$92,100",88%,6%
Rollins College,Private School,"$53,100","$92,100",54%,9%
Fitchburg State University,State School,"$50,200","$92,000",47%,9%
St. Joseph's College-New York,Private School,"$53,000","$91,900",57%,7%
Randolph College,"Liberal Arts School, Private School","$51,300","$91,800",44%,24%
University of New Hampshire at Manchester,"Liberal Arts School, State School","$56,900","$91,800",44%,39%
Western Illinois University,"For Sports Fans, State School","$49,200","$91,800",50%,13%
New England College,Private School,"$46,600","$91,800",52%,16%
Oral Roberts University,"Private School, Religious, For Sports Fans","$50,600","$91,700",57%,11%
Azusa Pacific University,"Private School, Religious, Research University","$54,500","$91,700",56%,3%
Graceland University-Lamoni,"Private School, Religious","$52,000","$91,700",67%,4%
Dean College,Private School,"$44,900","$91,700",-,1%
Cedarville University,"Private School, Religious","$57,000","$91,600",55%,16%
Herzing University-Birmingham,Private School,"$53,200","$91,600",-,2%
University of La Verne,"Private School, Research University","$53,500","$91,600",54%,4%
Robert Morris University,"Private School, Research University, For Sports Fans","$53,200","$91,500",41%,21%
University of Illinois Springfield,State School,"$51,400","$91,500",52%,29%
National Louis University,"Private School, Research University","$49,900","$91,500",66%,0%
Monmouth College,"Liberal Arts School, Private School, Religious","$52,100","$91,500",53%,11%
SUNY College of Technology at Delhi,State School,"$51,000","$91,400",51%,1%
University of Saint Joseph,"Private School, Religious","$56,400","$91,400",65%,7%
Truman State University,State School,"$51,200","$91,400",46%,16%
Northern Kentucky University,"For Sports Fans, State School","$53,500","$91,400",48%,12%
Franciscan Missionaries of Our Lady University,"Private School, Religious","$55,100","$91,400",-,2%
Wright State University-Main Campus,"Research University, For Sports Fans, State School","$54,700","$91,300",47%,27%
George Fox University,"Private School, Religious","$55,300","$91,300",50%,10%
High Point University,"Private School, Religious, For Sports Fans","$53,700","$91,300",45%,8%
Ferrum College,"Private School, Religious","$44,000","$91,300",53%,7%
California State University-San Bernardino,State School,"$51,900","$91,300",56%,12%
Colorado State University Pueblo,State School,"$51,800","$91,300",64%,13%
University of Mississippi,"Research University, For Sports Fans, State School","$52,400","$91,300",55%,12%
Upstate Medical University,State School,"$59,900","$91,200",78%,4%
Curry College,Private School,"$53,400","$91,200",60%,4%
Stockton University,State School,"$50,600","$91,100",50%,15%
Olivet Nazarene University,"Private School, Religious","$53,700","$91,100",65%,10%
Christopher Newport University,State School,"$56,300","$91,000",56%,28%
Nicholls State University,"For Sports Fans, State School","$47,400","$91,000",51%,6%
SUNY College at Oswego,State School,"$49,600","$90,900",44%,14%
Bob Jones University,"Private School, Religious","$52,100","$90,900",59%,10%
