School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
Averett University-Non-Traditional Programs,"Business, Private School, Religious","$53,100","$81,000",-,0%
Southern Adventist University,"Private School, Religious","$50,200","$81,000",66%,13%
Huston-Tillotson University,"Private School, Religious","$45,200","$81,000",-,9%
Upper Iowa University,Private School,"$48,200","$81,000",57%,2%
Thomas College,Private School,"$49,700","$81,000",58%,7%
Wingate University,Private School,"$44,500","$80,900",54%,12%
Oklahoma Baptist University,"Private School, Religious","$47,900","$80,900",62%,10%
Daytona State College,State School,"$46,300","$80,900",66%,3%
Colorado Mesa University,State School,"$51,800","$80,900",59%,8%
Dakota Wesleyan University,"Private School, Religious","$46,400","$80,800",-,8%
College of Our Lady of the Elms,"Private School, Religious","$51,500","$80,800",56%,7%
Endicott College,Private School,"$54,600","$80,800",37%,4%
Shorter University,"Private School, Religious","$48,700","$80,700",58%,4%
Wells College,"Liberal Arts School, Private School","$50,200","$80,600",44%,23%
West Virginia State University,"Liberal Arts School, State School","$43,700","$80,600",45%,9%
University of Guam,State School,"$49,300","$80,600",58%,14%
University of Sioux Falls,"Private School, Religious","$47,800","$80,600",70%,5%
Clayton  State University,State School,"$50,900","$80,600",55%,10%
University of Michigan-Flint,State School,"$50,500","$80,600",52%,13%
Montana State University Billings,State School,"$46,500","$80,600",62%,5%
Malone University,"Private School, Religious","$49,600","$80,500",53%,8%
,"Private School, Religious, Research University","$43,800","$80,500",56%,18%
University of South Carolina Aiken,State School,"$45,500","$80,500",54%,13%
Texas Lutheran University,"Private School, Religious","$49,800","$80,500",49%,13%
Valencia College,State School,"$53,400","$80,500",81%,5%
Florida SouthWestern State College,State School,"$47,100","$80,500",-,1%
Stephens College,Private School,"$47,400","$80,500",48%,1%
Missouri Western State University,State School,"$46,500","$80,500",57%,9%
MidAmerica Nazarene University,"Private School, Religious","$53,000","$80,500",58%,2%
Northeastern State University,State School,"$48,900","$80,400",58%,8%
Johnson & Wales University-North Miami,Private School,"$42,500","$80,400",53%,0%
Marian University (Indiana),"Private School, Religious","$54,500","$80,400",51%,9%
Kansas Wesleyan University,"Private School, Religious","$47,800","$80,400",64%,2%
Cedar Crest College,Private School,"$53,300","$80,300",63%,5%
Seminole State College of Florida,State School,"$50,600","$80,300",51%,17%
Lincoln University (Pennsylvania),State School,"$52,400","$80,200",76%,12%
Iowa Wesleyan University,"Private School, Religious","$45,900","$80,200",66%,9%
Catawba College,Private School,"$45,100","$80,100",57%,7%
Grace College and Theological Seminary,"Private School, Religious","$47,500","$80,100",66%,4%
Ottawa University-Milwaukee,"Private School, Religious","$47,700","$80,000",70%,1%
Virginia Wesleyan University,"Liberal Arts School, Private School, Religious","$50,200","$79,900",54%,11%
Austin Peay State University,"For Sports Fans, State School","$47,900","$79,900",62%,8%
Huntingdon College,"Private School, Religious","$44,900","$79,900",71%,12%
